q,cash_rate
1990-Q3,14.0
1990-Q4,13.003333333333332
1991-Q1,12.0
1991-Q2,11.01
1991-Q3,10.183333333333334
1991-Q4,8.88
1992-Q1,7.5633333333333335
1992-Q2,6.88
1992-Q3,5.803333333333334
1992-Q4,5.75
1993-Q1,5.7
1993-Q2,5.25
1993-Q3,4.91
1993-Q4,4.75
1994-Q1,4.75
1994-Q2,4.75
1994-Q3,5.12
1994-Q4,6.446666666666666
1995-Q1,7.5
1995-Q2,7.5
1995-Q3,7.5
1995-Q4,7.5
1996-Q1,7.5
1996-Q2,7.5
1996-Q3,7.16
1996-Q4,6.583333333333333
1997-Q1,6.0
1997-Q2,5.786666666666666
1997-Q3,5.153333333333333
1997-Q4,5.0
1998-Q1,5.0
1998-Q2,5.0
1998-Q3,5.0
1998-Q4,4.92
1999-Q1,4.75
1999-Q2,4.75
1999-Q3,4.75
1999-Q4,4.91
2000-Q1,5.326666666666667
2000-Q2,5.8999999999999995
2000-Q3,6.163333333333334
2000-Q4,6.25
2001-Q1,5.883333333333333
2001-Q2,5.02
2001-Q3,4.926666666666667
2001-Q4,4.433333333333334
2002-Q1,4.25
2002-Q2,4.473333333333334
2002-Q3,4.75
2002-Q4,4.75
2003-Q1,4.75
2003-Q2,4.75
2003-Q3,4.75
2003-Q4,4.983333333333333
2004-Q1,5.25
2004-Q2,5.25
2004-Q3,5.25
2004-Q4,5.25
2005-Q1,5.33
2005-Q2,5.5
2005-Q3,5.5
2005-Q4,5.5
2006-Q1,5.5
2006-Q2,5.66
2006-Q3,5.913333333333334
2006-Q4,6.146666666666667
2007-Q1,6.25
2007-Q2,6.25
2007-Q3,6.3999999999999995
2007-Q4,6.6499999999999995
2008-Q1,6.976666666666667
2008-Q2,7.25
2008-Q3,7.173333333333333
2008-Q4,5.286666666666666
2009-Q1,3.6166666666666667
2009-Q2,3.02
2009-Q3,3.0
2009-Q4,3.4766666666666666
2010-Q1,3.8266666666666667
2010-Q2,4.3966666666666665
2010-Q3,4.5
2010-Q4,4.66
2011-Q1,4.75
2011-Q2,4.75
2011-Q3,4.75
2011-Q4,4.52
2012-Q1,4.25
2012-Q2,3.8533333333333335
2012-Q3,3.5
2012-Q4,3.1833333333333336
2013-Q1,3.0
2013-Q2,2.85
2013-Q3,2.6
2013-Q4,2.5
2014-Q1,2.5
2014-Q2,2.5
2014-Q3,2.5
2014-Q4,2.5
2015-Q1,2.3433333333333333
2015-Q2,2.0966666666666667
2015-Q3,2.0
2015-Q4,2.0
2016-Q1,2.0
2016-Q2,1.8399999999999999
2016-Q3,1.5899999999999999
2016-Q4,1.5
2017-Q1,1.5
2017-Q2,1.5
2017-Q3,1.5
2017-Q4,1.5
2018-Q1,1.5
2018-Q2,1.5
2018-Q3,1.5
2018-Q4,1.5
2019-Q1,1.5
2019-Q2,1.4266666666666667
2019-Q3,1.0066666666666666
2019-Q4,0.7533333333333333
2020-Q1,0.6433333333333333
2020-Q2,0.25
2020-Q3,0.25
2020-Q4,0.15333333333333335
2021-Q1,0.10000000000000002
2021-Q2,0.10000000000000002
2021-Q3,0.10000000000000002
2021-Q4,0.10000000000000002
2022-Q1,0.10000000000000002
2022-Q2,0.3866666666666667
2022-Q3,1.78
2022-Q4,2.823333333333333
2023-Q1,3.31
2023-Q2,3.8266666666666667
2023-Q3,4.1
2023-Q4,4.246666666666666
2024-Q1,4.35
2024-Q2,4.35
2024-Q3,4.35
2024-Q4,4.35
2025-Q1,4.233333333333333
2025-Q2,3.9866666666666664
2025-Q3,3.716666666666667
2025-Q4,3.6
2026-Q1,3.796666666666667
2026-Q2,4.205
